cct,u,v
1775.8557966172527,0.32550360066331296,0.36027415642990057
1780.2954361087957,0.32505325030498483,0.360259093840362
1784.7461746990675,0.3246037742918715,0.3602435962509733
1789.2080401358153,0.3241551736190893,0.3602276630030492
1793.6810602361545,0.32370744926610084,0.3602112934502499
1798.165262886745,0.32326060219677577,0.36019448695863004
1802.6606760439615,0.3228146333594505,0.3601772429066853
1807.1673277340717,0.32236954368698706,0.3601595606853975
1811.6852460534064,0.32192533409683416,0.3601414396982815
1816.21445916854,0.3214820054910844,0.36012287936142806
1820.7549953164612,0.3210395587565338,0.3601038791035486
1825.3068828047524,0.3205979947647405,0.36008443836601656
1829.8701500117643,0.3201573143720818,0.3600645566029104
1834.4448253867936,0.3197175184198132,0.3600442332810541
1839.0309374502604,0.31927860773412525,0.36002346788005685
1843.6285147938859,0.3188405831262005,0.3600022598923526
1848.2375860808704,0.31840344539227117,0.35998060882323824
1852.8581800460727,0.3179671953136751,0.3599585141909112
1857.4903254961876,0.3175318336569126,0.3599359755265054
1862.134051309928,0.3170973611737022,0.35991299237412755
1866.7893864382029,0.31666377860103645,0.35988956429089125
1871.456359904298,0.3162310866612376,0.3598656908469513
1876.1350008040588,0.31579928606201263,0.3598413716255361
1880.825338306069,0.3153683774965084,0.35981660622298
1885.527401651834,0.3149383616433661,0.359791394248754
1890.2412201559632,0.3145092391667759,0.35976573532549627
1894.9668232063532,0.3140810107165309,0.3597396290890411
1899.704240264369,0.313653676928081,0.35971307518844703
1904.4535008650298,0.3132272384225868,0.3596860732860244
1909.2146346171924,0.3128016958069725,0.359658623057362
1913.987671203735,0.31237704967397956,0.3596307241913519
1918.7726403817444,0.31195330060221893,0.35960237639021453
1923.5695719826986,0.3115304491562241,0.3595735793695218
1928.3784959126554,0.31110849588650363,0.3595443328582203
1933.1994421524369,0.31068744132959275,0.3595146365986526
1938.0324407578178,0.31026728600810527,0.3594844903465781
1942.8775218597123,0.309848030430786,0.3594538938711925
1947.7347156643614,0.309429675092561,0.35942284695514704
1952.6040524535222,0.3090122204745898,0.3593913493945665
1957.4855625846558,0.3085956670443158,0.35935940099906544
1962.3792764911175,0.30818001525551714,0.3593270015917649
1967.2852246823452,0.30776526554835726,0.3592941510093069
1972.203437744051,0.30735141834943525,0.3592608491018686
1977.133946338411,0.3069384740718356,0.3592270957331755
1982.0767812042568,0.30652643311517885,0.3591928907805134
1987.0319731572674,0.3061152958656705,0.35915823413473985
1991.9995530901604,0.3057050626961506,0.3591231257002936
1996.9795519728857,0.30529573396614385,0.3590875653952047
2001.9720008528177,0.30488731002190744,0.3590515531511021
2006.9769308549498,0.304479791196481,0.35901508891322137
2011.994373182087,0.3040731778097349,0.35897817264041076
2017.0243591150422,0.3036674701684188,0.3589408043051365
2022.0669200128295,0.3032626685662099,0.35890298389348735
2027.1220873128616,0.3028587732837616,0.3588647114051781
2032.1898925311439,0.3024557845887507,0.3588259868535516
2037.2703672624714,0.3020537027359265,0.3587868102655807
2042.3635431806274,0.3016525279671571,0.35874718168186875
2047.469452038579,0.3012522605114778,0.3587071011566488
2052.5881256686757,0.3008529005851383,0.3586665687577824
2057.719595982847,0.30045444839165,0.3586255845667574
2062.863894972804,0.3000569041218325,0.3585841486786845
2068.0210547102356,0.2996602679538618,0.35854226120229277
2073.1911073470114,0.29926454005331543,0.3584999222599249
2078.374085115379,0.2988697205732208,0.3584571319875305
2083.570020328167,0.29847580965410037,0.3584138905346592
2088.7789453789874,0.2980828074240187,0.3583701980644527
2094.0008927424346,0.2976907139986287,0.35832605475363544
2099.2358949742907,0.2972995294812175,0.3582814607925048
2104.4839847117264,0.2969092539627532,0.35823641638492015
2109.7451946735055,0.29651988752192954,0.35819092174829087
2115.0195576601895,0.2961314302252129,0.3581449771135638
2120.3071065543395,0.2957438821268874,0.3580985827252091
2125.6078743207254,0.29535724326910073,0.3580517388412061
2130.921894006527,0.29497151368190944,0.3580044457330271
2136.249198741543,0.29458669338332455,0.35795670368562116
2141.589821738397,0.2942027823793566,0.3579085129973968
2146.9437962927427,0.2938197806640611,0.35785987398020336
2152.3111557834745,0.2934376882195841,0.35781078695931173
2157.691933672933,0.29305650501620595,0.3577612522733943
2163.086163507115,0.2926762310123876,0.3577112702745035
2168.4938789158828,0.2922968661548146,0.3576608413280502
2173.9151136131727,0.29191841037844274,0.3576099658127807
2179.3499013972055,0.29154086360654224,0.3575586441207528
2184.7982761506983,0.2911642257507424,0.35750687665731085
2190.260271841075,0.29078849671107654,0.3574546638410608
2195.735922520678,0.2904136763760265,0.3574020061038428
2201.225262326979,0.29003976462256714,0.3573489038907048
2206.728325482796,0.2896667613162102,0.35729535765987397
2212.245146296503,0.28929466631105044,0.35724136788272703
2217.7757591622444,0.2889234794498078,0.35718693504376114
2223.32019856015,0.28855320056387335,0.35713205964056227
2228.87849905655,0.2881838294733529,0.35707674218377444
2234.4506953041914,0.2878153659871112,0.35702098319706616
2240.0368220424516,0.28744780990281654,0.3569647832170978
2245.636914097558,0.2870811610069849,0.3569081427934871
2251.2510063828017,0.28671541907502335,0.35685106248877385
2256.8791338987585,0.2863505838712755,0.35679354287838483
2262.521331733505,0.28598665514906435,0.3567355845505959
2268.177635062839,0.2856236326507368,0.35667718810649546
2273.8480791504962,0.2852615161077085,0.3566183541599459
2279.532699348372,0.2849003052405068,0.35655908333754427
2285.2315310967424,0.28453999975881505,0.3564993762785822
2290.944609924484,0.28418059936151707,0.3564392336350056
2296.6719714492956,0.28382210373674094,0.35637865607137303
2302.4136513779185,0.28346451256190314,0.3563176442648132
2308.1696855063637,0.2831078255037517,0.35625619890498195
2313.940109720129,0.28275204221841216,0.35619432069401874
2319.7249599944294,0.28239716235142925,0.35613201034650177
2325.524272394415,0.28204318553781255,0.3560692685894023
2331.3380830754013,0.28169011140208,0.3560060961620395
2337.1664282830898,0.28133793955830216,0.3559424938160328
2343.0093443537976,0.28098666961014546,0.35587846231525466
2348.8668677146816,0.28063630115091726,0.35581400243578204
2354.739034883968,0.2802868337636097,0.3557491149658478
2360.625882471178,0.2799382670209432,0.3556838007057908
2366.5274471773555,0.27959060048541107,0.3556180604680051
2372.443765795299,0.27924383370932365,0.3555518950768894
2378.374875209787,0.27889796623485236,0.3554853053687951
2384.3208123978116,0.27855299759407376,0.35541829219197346
2390.281614428806,0.2782089273090141,0.3553508564065231
2396.2573184648777,0.2778657548916928,0.3552829988843352
2402.2479617610397,0.27752347984416786,0.35521472050904007
2408.253581665442,0.27718210165857887,0.35514602217595115
2414.274215619606,0.27684161981719213,0.35507690479200976
2420.309901158655,0.2765020337924449,0.3550073692757286
2426.360675911551,0.27616334304698986,0.3549374165571345
2432.42657760133,0.2758255470337386,0.35486704757771065
2438.507644045333,0.2754886451959075,0.3547962632903387
2444.603913155446,0.27515263696706105,0.35472506465923975
2450.715422938335,0.2748175217711569,0.35465345265991455
2456.8422114956807,0.27448329902259055,0.35458142827908384
2462.98431702442,0.27414996812623943,0.3545089925146275
2469.1417778169807,0.2738175284775078,0.35443614637552323
2475.3146322615225,0.27348597946237174,0.35436289088178513
2481.5029188421763,0.2731553204574232,0.35428922706440075
2487.7066761392816,0.27282555082991533,0.3542151559652687
2493.92594282963,0.272496669937807,0.35414067863713505
2500.1607576867036,0.27216867712980775,0.3540657961435292
2506.4111595809204,0.2718415717454228,0.35399050955869976
2512.6771874798724,0.2715153531149973,0.3539148199675492
2518.9588804485725,0.27119002055976243,0.35383872846556835
2525.2562776496934,0.27086557339187967,0.3537622361587708
2531.5694183438177,0.2705420109144856,0.35368534416362557
2537.898341889677,0.270219332421738,0.3536080536069912
2544.243087744401,0.2698975371988602,0.3535303656260474
2550.603695463762,0.2695766245221865,0.35345228136822765
2556.980204702421,0.2692565936592076,0.3533738019911505
2563.372655214177,0.2689374438686156,0.353294928662551
2569.7810868522124,0.2686191744003494,0.3532156625602112
2576.205539569343,0.26830178449564057,0.35313600487189073
2582.6460534182656,0.2679852733870582,0.3530559567952565
2589.102668551812,0.2676696402985544,0.35297551953781214
2595.575425223191,0.26735488444551025,0.35289469431682713
2602.0643637862486,0.26704100503478123,0.3528134823592656
2608.5695246957143,0.2667280012647424,0.35273188490171437
2615.0909485074535,0.26641587232533487,0.3526499031903111
2621.628675878722,0.26610461739811064,0.35256753848067157
2628.1827475684186,0.2657942356562791,0.352484792037817
2634.7532044373393,0.26548472626475234,0.35240166513610105
2641.3400874484323,0.26517608838019113,0.3523181590591358
2647.9434376670533,0.264868321151051,0.35223427509971816
2654.563296261221,0.2645614237176277,0.3521500145597561
2661.199704501874,0.26425539521210384,0.35206537875019334
2667.8527037631284,0.2639502347585941,0.35198036899093493
2674.522335522536,0.26364594147319187,0.3518949866107723
2681.2086413613424,0.26334251446401546,0.3518092329473077
2687.9116629647456,0.26303995283125353,0.3517231093468781
2694.6314421221573,0.2627382556672116,0.35163661716447986
2701.3680207274624,0.26243742205635867,0.3515497577636919
2708.1214407792813,0.2621374510753726,0.3514625325165999
2714.8917443812293,0.2618383417931875,0.3513749428037186
2721.6789737421823,0.26154009327103867,0.35128699001391567
2728.483171176538,0.26124270456251003,0.3511986755443336
2735.304379104479,0.2609461747135801,0.3511100008003131
2742.1426400522396,0.2606505027626684,0.3510209671953151
2748.99799665237,0.26035568774068174,0.3509315761508423
2755.870491644001,0.2600617286710608,0.35084182909636163
2762.7601678731107,0.259768624569827,0.3507517274692263
2769.6670682927934,0.2594763744456281,0.35066127271459613
2776.5912359635254,0.2591849772997855,0.3505704662853602
2783.5327140534337,0.2588944321263408,0.35047930964205715
2790.4915458385676,0.2586047379121014,0.35038780425279625
2797.4677747031637,0.25831589363668844,0.3502959515931789
2804.4614441399212,0.2580278982725827,0.3502037531462184
2811.472597750271,0.2577407507851711,0.35011121040226123
2818.5012792446464,0.2574544501327938,0.3500183248589071
2825.547532442758,0.25716899526679016,0.34992509802092925
2832.611401273865,0.2568843851315465,0.3498315314001953
2839.6929297770494,0.25660061866454176,0.34973762651558615
2846.7921621014916,0.25631769479639455,0.3496433848929168
2853.9091425067454,0.25603561245091017,0.3495488080648562
2861.0439153630123,0.2557543705451266,0.34945389757084666
2868.1965251514193,0.2554739679893622,0.34935865495702395
2875.3670164642976,0.2551944036872615,0.3492630817761368
2882.555434005458,0.2549156765358423,0.34916717958746624
2889.7618225904716,0.25463778542554244,0.34907094995674587
2896.986227146948,0.25436072924026665,0.34897439445608025
2904.228692714815,0.25408450685743256,0.3488775146638654
